VTX, IDX, _sig60._child0.x, _sig60._child0.y, _sig60._child0.z, _sig60._child0.w, _output0.x, _output0.y, _output0.z, _output0.w, _output1.x, _output1.y, _output1.z, _output1.w
116, 2430, -28.83927, -75.53683, -188.80574,  208.80574, -28.83927,  75.53683,  10.00,  208.80574, -28.94829,  75.32367,  10.00,  208.75244
117, 2432, -28.00584, -79.69239, -188.48447,  208.48447, -28.00584,  79.69239,  10.00,  208.48447, -28.11173,  79.47363,  10.00,  208.43774
118, 2431, -27.70168, -79.31862, -188.369,  208.369, -27.70168,  79.31862,  10.00,  208.369, -27.80769,  79.10065,  10.00,  208.32205
119, 2433, -26.49157, -84.52383, -187.99168,  207.99168, -26.49157,  84.52383,  10.00,  207.99168, -26.5941,  84.29626,  10.00,  207.95221
120, 2432, -28.00584, -79.69239, -188.48447,  208.48447, -28.00584,  79.69239,  10.00,  208.48447, -28.11173,  79.47363,  10.00,  208.43774
121, 2433, -26.49157, -84.52383, -187.99168,  207.99168, -26.49157,  84.52383,  10.00,  207.99168, -26.5941,  84.29626,  10.00,  207.95221
122, 2434, -26.84464, -85.00865, -188.13503,  208.13503, -26.84464,  85.00865,  10.00,  208.13503, -26.94701,  84.78019,  10.00,  208.09575
123, 2434, -26.84464, -85.00865, -188.13503,  208.13503, -26.84464,  85.00865,  10.00,  208.13503, -26.94701,  84.78019,  10.00,  208.09575
124, 2433, -26.49157, -84.52383, -187.99168,  207.99168, -26.49157,  84.52383,  10.00,  207.99168, -26.5941,  84.29626,  10.00,  207.95221
125, 2435, -25.30553, -89.90123, -187.57314,  207.57314, -25.30553,  89.90123,  10.00,  207.57314, -25.40505,  89.6619,  10.00,  207.5406
126, 2434, -26.84464, -85.00865, -188.13503,  208.13503, -26.84464,  85.00865,  10.00,  208.13503, -26.94701,  84.78019,  10.00,  208.09575
127, 2435, -25.30553, -89.90123, -187.57314,  207.57314, -25.30553,  89.90123,  10.00,  207.57314, -25.40505,  89.6619,  10.00,  207.5406
128, 2436, -25.72115, -90.53627, -187.74969,  207.74969, -25.72115,  90.53627,  10.00,  207.74969, -25.82048,  90.29623,  10.00,  207.71736
129, 2437, -24.14323, -95.80231, -187.01529,  207.01529, -24.14323,  95.80231,  10.00,  207.01529, -24.24088,  95.54742,  10.00,  206.98843
130, 2436, -25.72115, -90.53627, -187.74969,  207.74969, -25.72115,  90.53627,  10.00,  207.74969, -25.82048,  90.29623,  10.00,  207.71736
131, 2435, -25.30553, -89.90123, -187.57314,  207.57314, -25.30553,  89.90123,  10.00,  207.57314, -25.40505,  89.6619,  10.00,  207.5406
132, 2437, -24.14323, -95.80231, -187.01529,  207.01529, -24.14323,  95.80231,  10.00,  207.01529, -24.24088,  95.54742,  10.00,  206.98843
133, 2438, -24.59813, -96.61367, -187.23203,  207.23203, -24.59813,  96.61367,  10.00,  207.23203, -24.69554,  96.35836,  10.00,  207.20534
134, 2436, -25.72115, -90.53627, -187.74969,  207.74969, -25.72115,  90.53627,  10.00,  207.74969, -25.82048,  90.29623,  10.00,  207.71736
135, 2439, -23.08013, -101.20611, -186.37178,  206.37178, -23.08013,  101.20611,  10.00,  206.37178, -23.17759,  100.935,  10.00,  206.34787
136, 2438, -24.59813, -96.61367, -187.23203,  207.23203, -24.59813,  96.61367,  10.00,  207.23203, -24.69554,  96.35836,  10.00,  207.20534
137, 2437, -24.14323, -95.80231, -187.01529,  207.01529, -24.14323,  95.80231,  10.00,  207.01529, -24.24088,  95.54742,  10.00,  206.98843
138, 2439, -23.08013, -101.20611, -186.37178,  206.37178, -23.08013,  101.20611,  10.00,  206.37178, -23.17759,  100.935,  10.00,  206.34787
139, 2440, -23.64268, -102.08833, -186.60588,  206.60588, -23.64268,  102.08833,  10.00,  206.60588, -23.73989,  101.81726,  10.00,  206.58205
140, 2438, -24.59813, -96.61367, -187.23203,  207.23203, -24.59813,  96.61367,  10.00,  207.23203, -24.69554,  96.35836,  10.00,  207.20534
141, 2440, -23.64268, -102.08833, -186.60588,  206.60588, -23.64268,  102.08833,  10.00,  206.60588, -23.73989,  101.81726,  10.00,  206.58205
142, 2439, -23.08013, -101.20611, -186.37178,  206.37178, -23.08013,  101.20611,  10.00,  206.37178, -23.17759,  100.935,  10.00,  206.34787
143, 2441, -21.82018, -108.06039, -185.27086,  205.27086, -21.82018,  108.06039,  10.00,  205.27086, -21.9185,  107.7821,  10.00,  205.24641
144, 2440, -23.64268, -102.08833, -186.60588,  206.60588, -23.64268,  102.08833,  10.00,  206.60588, -23.73989,  101.81726,  10.00,  206.58205
145, 2441, -21.82018, -108.06039, -185.27086,  205.27086, -21.82018,  108.06039,  10.00,  205.27086, -21.9185,  107.7821,  10.00,  205.24641
146, 2442, -22.28643, -109.10577, -185.64549,  205.64549, -22.28643,  109.10577,  10.00,  205.64549, -22.38436,  108.82767,  10.00,  205.62105
147, 2443, -20.7341, -113.74168, -184.42163,  204.42163, -20.7341,  113.74168,  10.00,  204.42163, -20.8329,  113.46278,  10.00,  204.39616
148, 2444, -19.50292, -118.85374, -183.40817,  203.40817, -19.50292,  118.85374,  10.00,  203.40817, -19.60237,  118.57428,  10.00,  203.38174
149, 2445, -20.79462, -113.56945, -184.30151,  204.30151, -20.79462,  113.56945,  10.00,  204.30151, -20.89353,  113.29056,  10.00,  204.27609
150, 2445, -20.79462, -113.56945, -184.30151,  204.30151, -20.79462,  113.56945,  10.00,  204.30151, -20.89353,  113.29056,  10.00,  204.27609
151, 2446, -21.72171, -108.66464, -185.63481,  205.63481, -21.72171,  108.66464,  10.00,  205.63481, -21.81968,  108.38639,  10.00,  205.61026
152, 2443, -20.7341, -113.74168, -184.42163,  204.42163, -20.7341,  113.74168,  10.00,  204.42163, -20.8329,  113.46278,  10.00,  204.39616
153, 2445, -20.79462, -113.56945, -184.30151,  204.30151, -20.79462,  113.56945,  10.00,  204.30151, -20.89353,  113.29056,  10.00,  204.27609
154, 2447, -21.82018, -108.06039, -185.27086,  205.27086, -21.82018,  108.06039,  10.00,  205.27086, -21.9185,  107.7821,  10.00,  205.24641
155, 2446, -21.72171, -108.66464, -185.63481,  205.63481, -21.72171,  108.66464,  10.00,  205.63481, -21.81968,  108.38639,  10.00,  205.61026
156, 2446, -21.72171, -108.66464, -185.63481,  205.63481, -21.72171,  108.66464,  10.00,  205.63481, -21.81968,  108.38639,  10.00,  205.61026
157, 2447, -21.82018, -108.06039, -185.27086,  205.27086, -21.82018,  108.06039,  10.00,  205.27086, -21.9185,  107.7821,  10.00,  205.24641
158, 2448, -23.08013, -101.20611, -186.37178,  206.37178, -23.08013,  101.20611,  10.00,  206.37178, -23.17759,  100.935,  10.00,  206.34787
159, 2446, -21.72171, -108.66464, -185.63481,  205.63481, -21.72171,  108.66464,  10.00,  205.63481, -21.81968,  108.38639,  10.00,  205.61026
160, 2448, -23.08013, -101.20611, -186.37178,  206.37178, -23.08013,  101.20611,  10.00,  206.37178, -23.17759,  100.935,  10.00,  206.34787
161, 2449, -22.60806, -102.91891, -186.6871,  206.6871, -22.60806,  102.91891,  10.00,  206.6871, -22.70521,  102.64484,  10.00,  206.66331
162, 2450, -24.14323, -95.80231, -187.01529,  207.01529, -24.14323,  95.80231,  10.00,  207.01529, -24.24088,  95.54742,  10.00,  206.98843
163, 2449, -22.60806, -102.91891, -186.6871,  206.6871, -22.60806,  102.91891,  10.00,  206.6871, -22.70521,  102.64484,  10.00,  206.66331
164, 2448, -23.08013, -101.20611, -186.37178,  206.37178, -23.08013,  101.20611,  10.00,  206.37178, -23.17759,  100.935,  10.00,  206.34787
165, 2451, -22.28643, -109.10577, -185.64549,  205.64549, -22.28643,  109.10577,  10.00,  205.64549, -22.38436,  108.82767,  10.00,  205.62105
166, 2449, -22.60806, -102.91891, -186.6871,  206.6871, -22.60806,  102.91891,  10.00,  206.6871, -22.70521,  102.64484,  10.00,  206.66331
167, 2452, -23.64268, -102.08833, -186.60588,  206.60588, -23.64268,  102.08833,  10.00,  206.60588, -23.73989,  101.81726,  10.00,  206.58205
168, 2450, -24.14323, -95.80231, -187.01529,  207.01529, -24.14323,  95.80231,  10.00,  207.01529, -24.24088,  95.54742,  10.00,  206.98843
169, 2453, -23.95791, -96.25876, -187.32632,  207.32632, -23.95791,  96.25876,  10.00,  207.32632, -24.05533,  96.00268,  10.00,  207.29944
170, 2449, -22.60806, -102.91891, -186.6871,  206.6871, -22.60806,  102.91891,  10.00,  206.6871, -22.70521,  102.64484,  10.00,  206.66331
171, 2452, -23.64268, -102.08833, -186.60588,  206.60588, -23.64268,  102.08833,  10.00,  206.60588, -23.73989,  101.81726,  10.00,  206.58205
172, 2449, -22.60806, -102.91891, -186.6871,  206.6871, -22.60806,  102.91891,  10.00,  206.6871, -22.70521,  102.64484,  10.00,  206.66331
173, 2453, -23.95791, -96.25876, -187.32632,  207.32632, -23.95791,  96.25876,  10.00,  207.32632, -24.05533,  96.00268,  10.00,  207.29944
174, 2454, -25.30553, -89.90123, -187.57314,  207.57314, -25.30553,  89.90123,  10.00,  207.57314, -25.40505,  89.6619,  10.00,  207.5406
175, 2453, -23.95791, -96.25876, -187.32632,  207.32632, -23.95791,  96.25876,  10.00,  207.32632, -24.05533,  96.00268,  10.00,  207.29944
176, 2450, -24.14323, -95.80231, -187.01529,  207.01529, -24.14323,  95.80231,  10.00,  207.01529, -24.24088,  95.54742,  10.00,  206.98843
177, 2452, -23.64268, -102.08833, -186.60588,  206.60588, -23.64268,  102.08833,  10.00,  206.60588, -23.73989,  101.81726,  10.00,  206.58205
